date,category,search_volume,revenue,click_through_rate,conversion_rate,day_of_week,month,quarter
2023-09-04,Beauty,207,64.39,0.10935,0.0809,0,9,3
2023-09-04,Books,210,135.02,0.17880000000000001,0.0814,0,9,3
2023-09-04,Clothing,106,34.83,0.185,0.091,0,9,3
2023-09-04,Electronics,100,60.48,0.1982,0.0875,0,9,3
2023-09-04,Home,191,141.56,0.17035,0.09665,0,9,3
2023-09-05,Beauty,186,137.83999999999997,0.19624999999999998,0.09025,1,9,3
2023-09-05,Books,224,204.02,0.19255,0.0769,1,9,3
2023-09-05,Clothing,289,64.69,0.10010000000000001,0.08600000000000001,1,9,3
2023-09-05,Electronics,543,140.91,0.11516,0.0583,1,9,3
2023-09-05,Home,90,67.23,0.1744,0.1203,1,9,3
2023-09-05,Sports,193,190.15,0.18395,0.11019999999999999,1,9,3
2023-09-05,Toys,306,154.70999999999998,0.11966666666666666,0.09023333333333333,1,9,3
2023-09-06,Beauty,366,209.95,0.2023,0.095,2,9,3
2023-09-06,Books,96,20.63,0.1013,0.0887,2,9,3
2023-09-06,Electronics,311,147.15,0.09553333333333332,0.13056666666666666,2,9,3
2023-09-06,Sports,107,109.46,0.2165,0.1196,2,9,3
2023-09-06,Toys,212,84.05,0.12259999999999999,0.07869999999999999,2,9,3
2023-09-07,Beauty,289,111.52999999999999,0.1423,0.09503333333333334,3,9,3
2023-09-07,Books,182,40.36,0.10844999999999999,0.0799,3,9,3
2023-09-07,Electronics,93,36.7,0.1502,0.0633,3,9,3
2023-09-07,Home,91,37.76,0.1873,0.0431,3,9,3
2023-09-07,Sports,269,116.0,0.12163333333333333,0.07593333333333334,3,9,3
2023-09-07,Toys,372,87.05,0.11315,0.065775,3,9,3
2023-09-08,Beauty,216,103.25999999999999,0.19795000000000001,0.05245,4,9,3
2023-09-08,Books,286,187.12,0.17013333333333333,0.07713333333333333,4,9,3
2023-09-08,Clothing,297,100.14,0.11806666666666667,0.0766,4,9,3
2023-09-08,Toys,86,11.24,0.0915,0.0286,4,9,3
2023-09-09,Beauty,274,198.57999999999998,0.15875,0.07505,5,9,3
2023-09-09,Home,158,6.48,0.0484,0.0729,5,9,3
2023-09-09,Sports,245,89.34,0.1765,0.096,5,9,3
2023-09-09,Toys,141,52.2,0.191,0.0763,5,9,3
2023-09-10,Beauty,270,177.81,0.16595,0.07805000000000001,6,9,3
2023-09-10,Books,390,108.08,0.13073333333333334,0.0678,6,9,3
2023-09-10,Clothing,405,176.35,0.09533333333333334,0.09283333333333332,6,9,3
2023-09-10,Home,237,86.89,0.18525,0.0734,6,9,3
2023-09-10,Sports,140,49.06,0.2284,0.0656,6,9,3
2023-09-11,Beauty,97,67.36,0.1968,0.0614,0,9,3
2023-09-11,Books,430,227.82,0.124975,0.09997500000000001,0,9,3
2023-09-11,Clothing,300,129.15,0.16083333333333333,0.08516666666666667,0,9,3
2023-09-11,Electronics,106,7.26,0.0524,0.0629,0,9,3
2023-09-11,Home,502,229.04,0.14404,0.0898,0,9,3
2023-09-11,Sports,299,91.48,0.16983333333333336,0.04853333333333334,0,9,3
2023-09-11,Toys,200,52.69,0.12035,0.04835,0,9,3
2023-09-12,Beauty,177,86.03999999999999,0.16505,0.07885,1,9,3
2023-09-12,Books,233,108.7,0.1839,0.1117,1,9,3
2023-09-12,Electronics,216,30.450000000000003,0.16699999999999998,0.03805,1,9,3
2023-09-12,Home,186,62.37,0.1516,0.09179999999999999,1,9,3
2023-09-12,Sports,193,73.8,0.13915,0.0706,1,9,3
2023-09-12,Toys,398,272.69,0.149675,0.07405,1,9,3
2023-09-13,Beauty,187,231.12,0.21039999999999998,0.0983,2,9,3
2023-09-13,Clothing,496,433.57,0.1635,0.0888,2,9,3
2023-09-13,Home,199,35.43,0.14555,0.0484,2,9,3
2023-09-13,Sports,102,64.7,0.1062,0.1161,2,9,3
2023-09-13,Toys,217,58.81999999999999,0.18445,0.07150000000000001,2,9,3
2023-09-14,Beauty,110,21.93,0.1954,0.0253,3,9,3
2023-09-14,Books,115,26.57,0.0915,0.0925,3,9,3
2023-09-14,Clothing,199,46.46,0.10894999999999999,0.060950000000000004,3,9,3
2023-09-14,Electronics,119,10.82,0.0726,0.0781,3,9,3
2023-09-14,Home,199,47.79,0.10905,0.08025,3,9,3
2023-09-14,Sports,101,47.48,0.1222,0.0894,3,9,3
2023-09-15,Beauty,270,89.3,0.13670000000000002,0.07916666666666666,4,9,3
2023-09-15,Books,352,206.65,0.17026666666666665,0.09886666666666666,4,9,3
2023-09-15,Clothing,497,170.94,0.13520000000000001,0.08818000000000001,4,9,3
2023-09-15,Electronics,388,186.29000000000002,0.16192499999999999,0.061375,4,9,3
2023-09-15,Home,312,39.43,0.11446666666666666,0.0819,4,9,3
2023-09-15,Sports,103,19.81,0.2178,0.076,4,9,3
2023-09-15,Toys,268,105.50999999999999,0.13826666666666668,0.07296666666666667,4,9,3
2023-09-16,Beauty,241,111.97,0.1856,0.0748,5,9,3
2023-09-16,Books,238,45.01,0.16260000000000002,0.0432,5,9,3
2023-09-16,Clothing,145,65.84,0.2602,0.0518,5,9,3
2023-09-16,Electronics,260,287.05,0.16155,0.106,5,9,3
2023-09-16,Home,287,156.56,0.15735,0.1,5,9,3
2023-09-17,Beauty,127,24.84,0.2439,0.0411,6,9,3
2023-09-17,Books,144,191.76,0.203,0.1628,6,9,3
2023-09-17,Clothing,139,66.32,0.2416,0.081,6,9,3
2023-09-17,Electronics,127,112.06,0.2055,0.1056,6,9,3
2023-09-17,Home,240,229.85000000000002,0.17475000000000002,0.0825,6,9,3
2023-09-17,Sports,241,103.80000000000001,0.15125,0.092,6,9,3
2023-09-17,Toys,547,275.6,0.16649999999999998,0.073625,6,9,3
2023-09-18,Beauty,106,11.74,0.1253,0.0457,0,9,3
2023-09-18,Books,194,275.74,0.13405,0.08205000000000001,0,9,3
2023-09-18,Clothing,273,60.49,0.19056666666666666,0.04803333333333334,0,9,3
2023-09-18,Toys,90,8.24,0.0579,0.081,0,9,3
2023-09-19,Beauty,103,39.85,0.1078,0.1042,1,9,3
2023-09-19,Clothing,323,131.81,0.15613333333333332,0.08283333333333333,1,9,3
2023-09-19,Electronics,210,77.66999999999999,0.16249999999999998,0.0447,1,9,3
2023-09-19,Home,112,20.67,0.0467,0.0842,1,9,3
2023-09-19,Sports,114,21.2,0.1285,0.0853,1,9,3
2023-09-19,Toys,309,135.13,0.18000000000000002,0.0919,1,9,3
2023-09-20,Beauty,204,139.94,0.16055000000000003,0.07465,2,9,3
2023-09-20,Books,489,485.7,0.16898,0.1066,2,9,3
2023-09-20,Clothing,290,113.5,0.13336666666666666,0.08,2,9,3
2023-09-20,Electronics,325,67.97999999999999,0.12563333333333335,0.06743333333333333,2,9,3
2023-09-20,Home,221,108.15,0.13495000000000001,0.09395,2,9,3
2023-09-20,Sports,294,274.71,0.19286666666666666,0.12050000000000001,2,9,3
2023-09-20,Toys,633,172.28,0.15028333333333332,0.05793333333333334,2,9,3
2023-09-21,Beauty,96,70.31,0.1796,0.1742,3,9,3
2023-09-21,Books,379,148.14,0.1158,0.06,3,9,3
2023-09-21,Clothing,190,21.96,0.12265000000000001,0.06305,3,9,3
2023-09-21,Electronics,199,122.21000000000001,0.15805,0.08405,3,9,3
2023-09-21,Sports,74,33.15,0.1721,0.0978,3,9,3
2023-09-21,Toys,287,125.58000000000001,0.1327,0.09056666666666667,3,9,3
2023-09-22,Beauty,108,22.29,0.1597,0.0542,4,9,3
2023-09-22,Books,93,136.31,0.228,0.148,4,9,3
2023-09-22,Clothing,509,366.54,0.15048,0.09136,4,9,3
2023-09-22,Electronics,306,82.49000000000001,0.1308,0.09713333333333334,4,9,3
2023-09-22,Home,100,58.69,0.1853,0.1015,4,9,3
2023-09-22,Sports,94,22.28,0.0588,0.0496,4,9,3
2023-09-22,Toys,203,50.24,0.19595,0.0401,4,9,3
2023-09-23,Beauty,408,167.64000000000001,0.14223333333333335,0.07116666666666667,5,9,3
2023-09-23,Books,386,229.86,0.1693,0.09913333333333334,5,9,3
2023-09-23,Electronics,265,38.29,0.08205,0.0766,5,9,3
